name,path,duration,bitrate,size_mb,num_streams,format
"Beethoven, 5th Symphony.mp3","D:\IU-OneDrive\OneDrive - Indiana University\Music\classic\Beethoven\Beethoven, 5th Symphony.mp3",457.822041,128003.0,6.990172386169434,1,.mp3
"Beethoven, Symphony 9, 1st movement (complete), Allegro ma non troppo, Philharmonia Baroque.mp3","D:\IU-OneDrive\OneDrive - Indiana University\Music\classic\Beethoven\Beethoven, Symphony 9, 1st movement (complete), Allegro ma non troppo, Philharmonia Baroque.mp3",905.822041,128001.0,13.82598114013672,1,.mp3
"Beethoven, Symphony 9, 2nd movement (complete), Molto vivace, Philharmonia Baroque.mp3","D:\IU-OneDrive\OneDrive - Indiana University\Music\classic\Beethoven\Beethoven, Symphony 9, 2nd movement (complete), Molto vivace, Philharmonia Baroque.mp3",813.087347,128002.0,12.410962104797363,1,.mp3
"Beethoven, Symphony 9, 3rd movement (complete), Adagio molto e cantabile, Philharmonia Baroque.mp3","D:\IU-OneDrive\OneDrive - Indiana University\Music\classic\Beethoven\Beethoven, Symphony 9, 3rd movement (complete), Adagio molto e cantabile, Philharmonia Baroque.mp3",833.776327,256001.0,25.449068069458008,1,.mp3
"Beethoven, Symphony 9, 4th movement (complete) Ode to Joy, Presto, Philharmonia Baroque.mp3","D:\IU-OneDrive\OneDrive - Indiana University\Music\classic\Beethoven\Beethoven, Symphony 9, 4th movement (complete) Ode to Joy, Presto, Philharmonia Baroque.mp3",1428.088163,128001.0,21.795129776000977,1,.mp3
"Symphony No.1 in C, Op.21 1. Adagio molto - Allegro con brio.flac","D:\IU-OneDrive\OneDrive - Indiana University\Music\classic\Beethoven\Symphony No.1 in C, Op.21 1. Adagio molto - Allegro con brio.flac",568.737823,2475009.0,167.80275344848633,1,.flac
"Symphony No.2 in D, Op.36 1. Adagio molto - Allegro con brio.flac","D:\IU-OneDrive\OneDrive - Indiana University\Music\classic\Beethoven\Symphony No.2 in D, Op.36 1. Adagio molto - Allegro con brio.flac",782.726927,2515395.0,234.7073240280152,1,.flac
"Symphony No.3 in E flat, Op.55 -Eroica 1. Allegro con brio.flac","D:\IU-OneDrive\OneDrive - Indiana University\Music\classic\Beethoven\Symphony No.3 in E flat, Op.55 -Eroica 1. Allegro con brio.flac",971.2,2480010.0,287.1259021759033,1,.flac
"Symphony No.4 in B flat, Op.60 1. Adagio - Allegro vivace.flac","D:\IU-OneDrive\OneDrive - Indiana University\Music\classic\Beethoven\Symphony No.4 in B flat, Op.60 1. Adagio - Allegro vivace.flac",630.28,2404305.0,180.64806747436523,1,.flac
"Symphony No.5 in C minor, Op.67 1. Allegro con brio.flac","D:\IU-OneDrive\OneDrive - Indiana University\Music\classic\Beethoven\Symphony No.5 in C minor, Op.67 1. Allegro con brio.flac",489.615083,2540012.0,148.25203323364258,1,.flac
"Symphony No.6 in F, Op.68 -Pastoral 2. Szene am Bach (Andante molto mosso).flac","D:\IU-OneDrive\OneDrive - Indiana University\Music\classic\Beethoven\Symphony No.6 in F, Op.68 -Pastoral 2. Szene am Bach (Andante molto mosso).flac",686.706667,2358247.0,193.0504274368286,1,.flac
"Symphony No.7 in A, Op.92 1. Poco sostenuto - Vivace.flac","D:\IU-OneDrive\OneDrive - Indiana University\Music\classic\Beethoven\Symphony No.7 in A, Op.92 1. Poco sostenuto - Vivace.flac",749.663552,2503311.0,223.71307277679443,1,.flac
"Symphony No.8 in F, Op.93 1. Allegro vivace e con brio.flac","D:\IU-OneDrive\OneDrive - Indiana University\Music\classic\Beethoven\Symphony No.8 in F, Op.93 1. Allegro vivace e con brio.flac",587.32,2510309.0,175.7568130493164,1,.flac
"Symphony No.9 in D minor, Op.125.flac","D:\IU-OneDrive\OneDrive - Indiana University\Music\classic\Beethoven\Symphony No.9 in D minor, Op.125.flac",1027.946667,2487371.0,304.80450916290283,1,.flac
01-Hard Times Come Again No More.mp3,D:\IU-OneDrive\OneDrive - Indiana University\Music\Other\Civil War Music Collectors Edition\A\01-Hard Times Come Again No More.mp3,189.570612,137185.0,3.1017637252807617,1,.mp3
02-Jenny Lind Polka.mp3,D:\IU-OneDrive\OneDrive - Indiana University\Music\Other\Civil War Music Collectors Edition\A\02-Jenny Lind Polka.mp3,133.929796,146220.0,2.336030960083008,1,.mp3
03-Arkansas Traveller.mp3,D:\IU-OneDrive\OneDrive - Indiana University\Music\Other\Civil War Music Collectors Edition\A\03-Arkansas Traveller.mp3,115.617959,139603.0,1.925633430480957,1,.mp3
04-Jordan Is a Hard Road to Travel.mp3,D:\IU-OneDrive\OneDrive - Indiana University\Music\Other\Civil War Music Collectors Edition\A\04-Jordan Is a Hard Road to Travel.mp3,201.482449,172005.0,4.132883071899414,1,.mp3
05-Get Off the Track!.mp3,D:\IU-OneDrive\OneDrive - Indiana University\Music\Other\Civil War Music Collectors Edition\A\05-Get Off the Track!.mp3,166.19102,140239.0,2.7799129486083984,1,.mp3
06-Annie Laurie.mp3,D:\IU-OneDrive\OneDrive - Indiana University\Music\Other\Civil War Music Collectors Edition\A\06-Annie Laurie.mp3,149.315918,146243.0,2.604623794555664,1,.mp3
07-Mocking Bird Quickstep--In Happy Moments.mp3,D:\IU-OneDrive\OneDrive - Indiana University\Music\Other\Civil War Music Collectors Edition\A\07-Mocking Bird Quickstep--In Happy Moments.mp3,189.257143,146017.0,3.295900344848633,1,.mp3
08-I Wish I Was in Dixie's Land.mp3,D:\IU-OneDrive\OneDrive - Indiana University\Music\Other\Civil War Music Collectors Edition\A\08-I Wish I Was in Dixie's Land.mp3,290.925714,166482.0,5.775334358215332,1,.mp3
09-Hymn Medley.mp3,D:\IU-OneDrive\OneDrive - Indiana University\Music\Other\Civil War Music Collectors Edition\A\09-Hymn Medley.mp3,178.808163,144886.0,3.089855194091797,1,.mp3
10-The First Gun Is Fired!! May God Protect the Right!.mp3,D:\IU-OneDrive\OneDrive - Indiana University\Music\Other\Civil War Music Collectors Edition\A\10-The First Gun Is Fired!! May God Protect the Right!.mp3,153.103673,149127.0,2.723501205444336,1,.mp3
11-The Song of the Contrabands.mp3,D:\IU-OneDrive\OneDrive - Indiana University\Music\Other\Civil War Music Collectors Edition\A\11-The Song of the Contrabands.mp3,192.130612,146059.0,3.3468589782714844,1,.mp3
12-Quick Step & Battle Hymn of the Republic.mp3,D:\IU-OneDrive\OneDrive - Indiana University\Music\Other\Civil War Music Collectors Edition\A\12-Quick Step & Battle Hymn of the Republic.mp3,129.802449,141146.0,2.185630798339844,1,.mp3
13-Grafted Into the Army.mp3,D:\IU-OneDrive\OneDrive - Indiana University\Music\Other\Civil War Music Collectors Edition\A\13-Grafted Into the Army.mp3,111.177143,138658.0,1.839254379272461,1,.mp3
14-The Southrons' Chaunt of Defiance.mp3,D:\IU-OneDrive\OneDrive - Indiana University\Music\Other\Civil War Music Collectors Edition\A\14-The Southrons' Chaunt of Defiance.mp3,192.313469,142482.0,3.268074989318848,1,.mp3
15-The Bonnie Blue Flag.mp3,D:\IU-OneDrive\OneDrive - Indiana University\Music\Other\Civil War Music Collectors Edition\A\15-The Bonnie Blue Flag.mp3,78.08,137141.0,1.278029441833496,1,.mp3
16-Bonnie Blue Schottische.mp3,D:\IU-OneDrive\OneDrive - Indiana University\Music\Other\Civil War Music Collectors Edition\A\16-Bonnie Blue Schottische.mp3,177.214694,128823.0,2.723008155822754,1,.mp3
"17-Just Before the Battle, Mother.mp3","D:\IU-OneDrive\OneDrive - Indiana University\Music\Other\Civil War Music Collectors Edition\A\17-Just Before the Battle, Mother.mp3",219.115102,138186.0,3.611084938049317,1,.mp3
18-Dixie Quick Step.mp3,D:\IU-OneDrive\OneDrive - Indiana University\Music\Other\Civil War Music Collectors Edition\A\18-Dixie Quick Step.mp3,120.241633,138089.0,1.9808979034423828,1,.mp3
01-Reveille.mp3,D:\IU-OneDrive\OneDrive - Indiana University\Music\Other\Civil War Music Collectors Edition\B\01-Reveille.mp3,276.244898,150187.0,4.947333335876465,1,.mp3
02-Glory! Glory! Hallelujah! (John Brown's Body).mp3,D:\IU-OneDrive\OneDrive - Indiana University\Music\Other\Civil War Music Collectors Edition\B\02-Glory! Glory! Hallelujah! (John Brown's Body).mp3,103.549388,149233.0,1.843733787536621,1,.mp3
03-Hard Crackers Come Again No More.mp3,D:\IU-OneDrive\OneDrive - Indiana University\Music\Other\Civil War Music Collectors Edition\B\03-Hard Crackers Come Again No More.mp3,179.722449,149202.0,3.198150634765625,1,.mp3
04-The Rogue's March.mp3,D:\IU-OneDrive\OneDrive - Indiana University\Music\Other\Civil War Music Collectors Edition\B\04-The Rogue's March.mp3,51.539592,142413.0,0.876530647277832,1,.mp3
05-The Battle Cry of Freedom--Kingdom Coming.mp3,D:\IU-OneDrive\OneDrive - Indiana University\Music\Other\Civil War Music Collectors Edition\B\05-The Battle Cry of Freedom--Kingdom Coming.mp3,213.55102,149051.0,3.796001434326172,1,.mp3
06-Aura Lee.mp3,D:\IU-OneDrive\OneDrive - Indiana University\Music\Other\Civil War Music Collectors Edition\B\06-Aura Lee.mp3,180.950204,140269.0,3.027238845825196,1,.mp3
07-Opera Reel.mp3,D:\IU-OneDrive\OneDrive - Indiana University\Music\Other\Civil War Music Collectors Edition\B\07-Opera Reel.mp3,125.100408,139319.0,2.079191207885742,1,.mp3
08-There Is a Fountain Filled With Blood.mp3,D:\IU-OneDrive\OneDrive - Indiana University\Music\Other\Civil War Music Collectors Edition\B\08-There Is a Fountain Filled With Blood.mp3,100.754286,148560.0,1.785923957824707,1,.mp3
"09-Home, Sweet Home.mp3","D:\IU-OneDrive\OneDrive - Indiana University\Music\Other\Civil War Music Collectors Edition\B\09-Home, Sweet Home.mp3",186.88,140696.0,3.13594913482666,1,.mp3
10-Richmond Is a Hard Road to Travel.mp3,D:\IU-OneDrive\OneDrive - Indiana University\Music\Other\Civil War Music Collectors Edition\B\10-Richmond Is a Hard Road to Travel.mp3,230.321633,150025.0,4.120707511901856,1,.mp3
11-Yellow Rose of Texas.mp3,D:\IU-OneDrive\OneDrive - Indiana University\Music\Other\Civil War Music Collectors Edition\B\11-Yellow Rose of Texas.mp3,86.256327,140875.0,1.4501104354858398,1,.mp3
12-Stonewall Jackson's Way.mp3,D:\IU-OneDrive\OneDrive - Indiana University\Music\Other\Civil War Music Collectors Edition\B\12-Stonewall Jackson's Way.mp3,113.240816,149411.0,2.018496513366699,1,.mp3
13-For Bales.mp3,D:\IU-OneDrive\OneDrive - Indiana University\Music\Other\Civil War Music Collectors Edition\B\13-For Bales.mp3,109.244082,145912.0,1.9017219543457031,1,.mp3
14-Natchez Under the Hill.mp3,D:\IU-OneDrive\OneDrive - Indiana University\Music\Other\Civil War Music Collectors Edition\B\14-Natchez Under the Hill.mp3,145.188571,148685.0,2.574981689453125,1,.mp3
